# Created by Octave 4.2.2, Tue Nov 12 21:02:55 2019 CET <oem@lucamachine>
# name: coord
# type: matrix
# rows: 10201
# columns: 2
 0 0
 0.02 0
 0.04 0
 0.06 0
 0.08 0
 0.1 0
 0.12 0
 0.14 0
 0.16 0
 0.18 0
 0.2 0
 0.22 0
 0.24 0
 0.26 0
 0.28 0
 0.3 0
 0.32 0
 0.34 0
 0.36 0
 0.38 0
 0.4 0
 0.42 0
 0.44 0
 0.46 0
 0.48 0
 0.5 0
 0.52 0
 0.54 0
 0.5600000000000001 0
 0.58 0
 0.6 0
 0.62 0
 0.64 0
 0.66 0
 0.68 0
 0.7000000000000001 0
 0.72 0
 0.74 0
 0.76 0
 0.78 0
 0.8 0
 0.8200000000000001 0
 0.84 0
 0.86 0
 0.88 0
 0.9 0
 0.92 0
 0.9400000000000001 0
 0.96 0
 0.98 0
 1 0
 0 0.04
 0.02 0.04
 0.04 0.04
 0.06 0.04
 0.08 0.04
 0.1 0.04
 0.12 0.04
 0.14 0.04
 0.16 0.04
 0.18 0.04
 0.2 0.04
 0.22 0.04
 0.24 0.04
 0.26 0.04
 0.28 0.04
 0.3 0.04
 0.32 0.04
 0.34 0.04
 0.36 0.04
 0.38 0.04
 0.4 0.04
 0.42 0.04
 0.44 0.04
 0.46 0.04
 0.48 0.04
 0.5 0.04
 0.52 0.04
 0.54 0.04
 0.5600000000000001 0.04
 0.58 0.04
 0.6 0.04
 0.62 0.04
 0.64 0.04
 0.66 0.04
 0.68 0.04
 0.7000000000000001 0.04
 0.72 0.04
 0.74 0.04
 0.76 0.04
 0.78 0.04
 0.8 0.04
 0.8200000000000001 0.04
 0.84 0.04
 0.86 0.04
 0.88 0.04
 0.9 0.04
 0.92 0.04
 0.9400000000000001 0.04
 0.96 0.04
 0.98 0.04
 1 0.04
 0 0.08
 0.02 0.08
 0.04 0.08
 0.06 0.08
 0.08 0.08
 0.1 0.08
 0.12 0.08
 0.14 0.08
 0.16 0.08
 0.18 0.08
 0.2 0.08
 0.22 0.08
 0.24 0.08
 0.26 0.08
 0.28 0.08
 0.3 0.08
 0.32 0.08
 0.34 0.08
 0.36 0.08
 0.38 0.08
 0.4 0.08
 0.42 0.08
 0.44 0.08
 0.46 0.08
 0.48 0.08
 0.5 0.08
 0.52 0.08
 0.54 0.08
 0.5600000000000001 0.08
 0.58 0.08
 0.6 0.08
 0.62 0.08
 0.64 0.08
 0.66 0.08
 0.68 0.08
 0.7000000000000001 0.08
 0.72 0.08
 0.74 0.08
 0.76 0.08
 0.78 0.08
 0.8 0.08
 0.8200000000000001 0.08
 0.84 0.08
 0.86 0.08
 0.88 0.08
 0.9 0.08
 0.92 0.08
 0.9400000000000001 0.08
 0.96 0.08
 0.98 0.08
 1 0.08
 0 0.12
 0.02 0.12
 0.04 0.12
 0.06 0.12
 0.08 0.12
 0.1 0.12
 0.12 0.12
 0.14 0.12
 0.16 0.12
 0.18 0.12
 0.2 0.12
 0.22 0.12
 0.24 0.12
 0.26 0.12
 0.28 0.12
 0.3 0.12
 0.32 0.12
 0.34 0.12
 0.36 0.12
 0.38 0.12
 0.4 0.12
 0.42 0.12
 0.44 0.12
 0.46 0.12
 0.48 0.12
 0.5 0.12
 0.52 0.12
 0.54 0.12
 0.5600000000000001 0.12
 0.58 0.12
 0.6 0.12
 0.62 0.12
 0.64 0.12
 0.66 0.12
 0.68 0.12
 0.7000000000000001 0.12
 0.72 0.12
 0.74 0.12
 0.76 0.12
 0.78 0.12
 0.8 0.12
 0.8200000000000001 0.12
 0.84 0.12
 0.86 0.12
 0.88 0.12
 0.9 0.12
 0.92 0.12
 0.9400000000000001 0.12
 0.96 0.12
 0.98 0.12
 1 0.12
 0 0.16
 0.02 0.16
 0.04 0.16
 0.06 0.16
 0.08 0.16
 0.1 0.16
 0.12 0.16
 0.14 0.16
 0.16 0.16
 0.18 0.16
 0.2 0.16
 0.22 0.16
 0.24 0.16
 0.26 0.16
 0.28 0.16
 0.3 0.16
 0.32 0.16
 0.34 0.16
 0.36 0.16
